id,response
11,"研究動機：
- 媒體同一主題的報導存在明顯差異，想要比較臺灣四大報的報導風格。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 分析四大報頭條標題及內文的用字風格。
- 探討四大報頭條標題及內文的差異。
- 測試統計及機器學習模型在區隔報紙風格上的效果。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 分析常用詞彙、句長、標點、虛字等因素。
- 透過Jaccard指標及Yue指標將同時期報導及四大報分類。
- 以能代表兩報風格的常見詞彙為解釋變數，分別使用統計及機器學習模型區隔《自由時報》或《蘋果日報》。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同。
- 透過Jaccard指標分類，同期報導被歸為同一群；透過Yue指標分類，四大報被區分為三群。
- 《自由時報》偏向政治新聞，而《蘋果日報》偏向社會新聞。
- 統計及機器學習模型皆能準確地區隔《自由時報》或《蘋果日報》。"
12,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，探討不同報紙的報導風格。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探究四大報報導風格的差異，包括常用詞彙、句長、標點、虛字等。
- 分析四大報報導風格的差異是否有明顯的趨勢。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年，分析頭條標題及內文。
- 比較四大報的標題用字風格，使用Jaccard指標及Yue指標進行分析。
- 比較四大報的常用詞彙，建立統計及機器學習模型進行分類分析。

研究結果：
- 四大報的標題用字風格不完全相同，Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》傾向報導政治新聞，而《蘋果日報》傾向報導社會新聞。
- 統計及機器學習模型都能有效區隔《自由時報》或《蘋果日報》。"
13,"研究動機：
媒體對同一主題的報導經常有明顯差異，想進一步了解臺灣四大報的報導風格差異，並且分析可能的原因。

研究目的：
比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格，並且找出標題常用詞彙、句長、標點、虛字的差異。同時，透過樣本統計及機器學習模型，區隔出報紙的身分。

研究方法：
利用每日頭版頭條新聞，資料期間為2012年至2018年，避免報紙立場及題材干擾，選取相同主題頭條標題涵蓋四大報，但頭條內文僅有《蘋果日報》、《自由時報》。接著，分析常用詞彙、句長、標點、虛詞等報導風格差異。

研究結果：
1. 四大報的頭條標題用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
2. 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
3. 以能夠代表兩報的常見詞彙為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。"
14,"研究動機：
1. 媒體對同一主題的報導經常有明顯差異。
2. 想比較臺灣四大報的報導風格。

研究目的：
了解四大報的報導風格是否完全相同，並分析其相異之處。

研究方法：
1. 選取每天頭版頭條新聞，資料期間為2012年至2018年。
2. 比較四大報在報導標題及內文的常用詞彙、句長、標點、虛字等語言特徵，並分析其風格是否有不同。
3. 使用Jaccard指標和Yue指標進行分類。
4. 選用統計及機器學習模型進行分析。

研究結果：
1. 四大報頭條標題及內文的用字風格不完全相同。
2. 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
3. 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
4. 使用常見詞彙作為解釋變數的統計及機器學習模型，都能準確地區隔《自由時報》或《蘋果日報》。"
15,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，希望了解不同報紙的報導風格與特點。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討不同報紙的常用詞彙、句長、標點、虛字等特徵，以了解其報導風格的差異。
- 利用統計及機器學習模型將《自由時報》或《蘋果日報》區分出來。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年，標題涵蓋四大報，內文分析僅有《蘋果日報》、《自由時報》。
- 進行常用詞彙、句長、標點、虛字等特徵分析。
- 利用Jaccard指標及Yue指標分群進行風格比較。
- 利用統計及機器學習模型區分出《自由時報》或《蘋果日報》。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞，以能夠代表兩報的常見詞彙為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。"
16,"研究動機：
- 媒體對同一主題的報導經常存在差異，想要比較四大報的報導風格。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 分析常用詞彙、句長、標點、虛字等元素的使用情況。
- 比較頭條標題與內文風格的差異。
- 探討可能影響風格差異的因素。

研究方法：
- 選取每日頭版頭條新聞作為研究對象。
- 資料期間為2012年至2018年。
- 分析常用詞彙、句長、標點及虛字等元素的使用情況。
- 使用Jaccard指標、Yue指標等統計方法將同期報導放在同一群或分成多個群。
- 針對《自由時報》、《蘋果日報》的內文，使用統計及機器學習模型區隔。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同。
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》傾向報導政治新聞，而《蘋果日報》則傾向社會新聞。
- 頭條內文僅有《蘋果日報》、《自由時報》；使用常見詞彙作為解釋變數，統計及機器學習模型能夠區隔出兩報的內容。"
17,"研究動機：報導風格的不同可能影響媒體傳遞的訊息及讀者對該主題的理解。

研究目的：比較臺灣四大報的報導風格差異，探討其可能影響到媒體訊息傳遞的效果。

研究方法：選取每天頭版頭條新聞，資料期間為2012年至2018年。採用常用詞彙、句長、標點、虛字等方面的分析方法，利用Jaccard指標及Yue指標進行分群比較，並以統計及機器學習模型進一步區隔不同報紙的報導風格。

研究結果：四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞，以常見詞彙為解釋變數的統計及機器學習模型能準確地區隔不同報紙的報導風格。"
18,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，想要探討這些差異是否呈現在報紙的報導風格上。

研究目的：
- 比較臺灣四大報的報導風格，著重分析常用詞彙、句長、標點、虛字等方面的變化。
- 探討報紙的標題和內文在用字風格上的異同。

研究方法：
- 選取每天頭版頭條新聞，時間範圍為2012年至2018年。
- 分析常用詞彙、句長、標點、虛字等風格特徵。
- 使用Jaccard指標和Yue指標將同時期報導分群。
- 以能夠代表兩報的常見詞彙為解釋變數，使用統計及機器學習模型區隔《自由時報》或《蘋果日報》。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。"
19,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，本研究希望探討不同報社的報導風格及其特徵。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 分析常用詞彙、句長、標點、虛字等因素對報導風格的影響。
- 了解四大報頭條標題及內文的用字風格。
- 探討影響報導風格的因素。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 分析常用詞彙、句長、標點、虛字等因素對報導風格的影響。
- 應用Jaccard指標及Yue指標比較四大報頭條標題及內文的用字風格。
- 以能夠代表兩報的常見詞彙為解釋變數，使用統計及機器學習模型進行分析。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同。
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。"
20,"研究動機：
1. 媒體對同一主題報導差異大，想了解可能的報導風格差異。

研究目的：
1. 比較臺灣四大報報導風格差異。
2. 基於報導風格差異，試圖區隔出不同報紙。

研究方法：
1. 選取每天頭版頭條新聞，資料期間為2012年至2018年。
2. 分析常用詞彙、句長、標點、虛字等語言特徵。
3. 使用Jaccard指標及Yue指標作為集群分析方法。

研究結果：
1. 四大報頭條標題及內文的用字風格不完全相同。
2. 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
3. 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞，以常見詞彙為解釋變數，統計及機器學習模型都能區隔出《自由時報》或《蘋果日報》。"
21,"研究動機：
媒體在報導同一主題時，風格有所差異，想探究此現象背後的原因。

研究目的：
比較四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格，分析其常用詞彙、句長、標點、虛字等詞彙特徵，探討不同報紙報導風格的差異。

研究方法：
選取每天頭版頭條新聞，資料期間為2012年至2018年，進行常用詞彙、句長、標點、虛字等詞彙特徵分析，以Jaccard指標和Yue指標來區分四大報的報導風格，並使用統計與機器學習模型進行區分。

研究結果：
1. 四大報頭條標題及內文的用字風格不完全相同，標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
2. 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
3. 透過統計和機器學習模型，能夠準確地區隔《自由時報》或《蘋果日報》的風格特徵。"
22,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，想要探討報紙報導風格的差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討四大報的頭條標題及內文用字風格是否相同。
- 統計及機器學習 模型都能否區隔出《自由時報》或《蘋果日報》。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年，其中頭條標題涵蓋四大報，但頭條內文僅有《蘋果日報》、《自由時報》。
- 分析常用詞彙、句長、標點、虛字等因素進行比較。
- 使用Jaccard指標及Yue指標將報導放成不同的群組。
- 使用統計及機器學習模型區隔《自由時報》或《蘋果日報》。

研究結果：
- 發現四大報的頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 能夠使用常見詞彙為解釋變數的統計及機器學習模型準確地區隔出《自由時報》或《蘋果日報》。"
23,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，研究比較不同媒體的報導風格。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》報導風格的差異。
- 探討四大報頭條標題及內文的用字風格差異。
- 分析用字風格之間的關係及差異。

研究方法：
- 選取2012年至2018年期間每天頭版頭條新聞，資料包含四大報的頭條標題，並且分析《自由時報》及《蘋果日報》的頭條內文。
- 分析常用詞彙、句長、標點、虛字等，比較四大報報導風格的差異。
- 以Jaccard指標及Yue指標區分四大報風格的不同，並以統計及機器學習 模型進行分類。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 以能夠代表兩報的常見詞彙為解釋變數，統計及機器學習 模型都能準確地區隔《自由時報》或《蘋果日報》。"
24,"研究動機：
- 媒體對同一主題報導的差異明顯，想要比較臺灣四大報的報導風格差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格差異。
- 由於媒體報導風格可能會受到報紙立場及題材干擾，因此本研究選取標題一致、內文僅含其中兩報的新聞作為比較對象。
- 以常用詞彙、句長、標點、虛字等為分析對象，探討四大報報導風格的差異。

研究方法：
- 選取2012年至2018年期間每天頭版頭條新聞，比較四大報報導風格差異。
- 利用常用詞彙、句長、標點、虛字等指標進行文字分析。
- 使用Jaccard指標和Yue指標進行分群分析。
- 以能夠代表兩報的常見詞彙為解釋變數，分別使用統計及機器學習模型進行區隔分析。

研究結果：
- 比較四大報報導風格，發現標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 使用統計及機器學習模型都能夠準確地區隔《自由時報》或《蘋果日報》。"
25,"研究動機：
媒體對同一主題的報導經常有明顯差異，本文探討報紙報導風格的差異。

研究目的：
比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格，針對常用詞彙、句長、標點、虛字等變數進行分析，探討是何種因素造成報導風格的差異，並建立模型以區隔報紙的風格。

研究方法：
選取每天頭版頭條新聞，資料期間為2012年至2018年，標題涵蓋四大報，但內文僅有《蘋果日報》、《自由時報》，分析常用詞彙、句長、標點、虛字等變數，使用Jaccard指標和Yue指標進行群聚分析，以及統計分析和機器學習模型建立。

研究結果：
四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞，以能夠代表兩報的常見詞彙為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。"
26,"研究動機：

- 媒體對同一主題的報導經常有明顯差異，本文希望探討報紙報導風格的差異。

研究目的：

- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討各報的常用詞彙、句長、標點、虛字等特徵，以瞭解不同報紙的用字風格。
- 分析報紙報導新聞的傾向性。

研究方法：

- 選取每天頭版頭條新聞作為研究對象，資料期間為2012年至2018年。
- 分析報紙使用的詞彙、句長、標點、虛字等特徵，在標題及正文中應用。
- 使用Jaccard指標及Yue指標，進行報紙風格的群組分析。
- 分析常見詞彙在不同報紙內的出現頻率，建立統計及機器學習模型，區隔《自由時報》或《蘋果日報》。

研究結果：

- 四大報頭條標題及內文的用字風格不完全相同，分別使用詞彙、句長、標點、虛字等特徵進行分析，可以區分不同報紙的風格。
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現，《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 使用機器學習模型，可以準確地區隔《自由時報》或《蘋果日報》。"
27,"研究動機：
- 媒體對同一主題的報導有明顯差異，想探索不同報紙的報導風格是否存在差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格差異。
- 了解不同報紙用字、詞彙、句式等方面的異同。
- 探討报头和正文在风格和常用字方面的异同。
- 評估統計及機器學習模型在分辨報紙風格差異上的效果。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年，其中頭條標題涵蓋四大報，但頭條內文僅有《蘋果日報》、《自由時報》。
- 分析常用詞彙、句長、標點、虛字等關鍵指標，並使用Jaccard指標和Yue指標進行分析和比較。
- 統計及機器學習模型的應用，評估其在分辨報紙風格差異上的效果。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 統計及機器學習模型能夠準確地區隔《自由時報》或《蘋果日報》。"
28,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，本研究希望探討報紙報導風格的差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討報導標題、內文中的常用詞彙、句長、標點、虛字等差異。
- 利用統計及機器學習模型，區隔《自由時報》或《蘋果日報》。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 比較四大報頭條標題及內文的用字風格，分析常用詞彙、句長、標點、虛字等。
- 使用Jaccard指標及Yue指標將同一期報導分組，統計及機器學習模型區隔《自由時報》或《蘋果日報》。

研究結果：
- 四大報頭條標題及內文的用字風格存在差異。
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 利用統計及機器學習模型能夠準確地區隔《自由時報》或《蘋果日報》。"
29,"研究動機：
- 媒體對同一主題的報導存在明顯差異，有必要對比各報報導風格之異同。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格，專注於頭版頭條新聞的分析。
- 分析常用詞彙、句長、標點、虛字等變項，並利用統計及機器學習模型區隔報紙的報導風格。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 比較四大報頭條標題及內文的用字風格，針對常用詞彙、句長、標點、虛字等變項進行分析。
- 利用Jaccard指標及Yue指標區隔報紙的報導風格，以及統計及機器學習模型進行區隔。

研究結果：
- 四大報頭條標題及內文的用字風格存在差異，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 以能夠代表兩報的常見詞彙為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。"
30,"研究動機：
- 媒體對同一主題的報導經常有明顯差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討四大報報導風格之異同。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年，分析其常用詞彙、句長、標點、虛字等因素差異。
- 以Jaccard指標及Yue指標將報導標題分群分析。
- 以機器學習模型及常見詞彙為解釋變數分析報導內容傾向，準確區隔《自由時報》或《蘋果日報》。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同。
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。"
31,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，學者想進一步瞭解報紙報導風格的差異性。

研究目的：
- 探討臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格差異。
- 分析報紙報導標題、內文的常用詞彙、句長、標點和虛字使用情況。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 分析常用詞彙、句長、標點、虛字等指標。
- 使用Jaccard指標和Yue指標進行報紙風格的分類。
- 比較《自由時報》和《蘋果日報》的常見詞彙，進行統計和機器學習模型分析。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同。
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 使用統計及機器學習模型能夠準確地區隔《自由時報》或《蘋果日報》。"
